,Instance,Clear,Start Time,End Time,Duration,Deaths
843,0,False,2022-04-29 18:23:59,2022-04-29 18:26:52,0:02:53,10
844,0,True,2022-04-29 18:27:25,2022-04-29 18:35:12,0:07:47,1
895,0,True,2022-05-03 19:57:06,2022-05-03 20:04:42,0:07:36,16
1086,0,True,2022-05-27 18:07:08,2022-05-27 18:14:53,0:07:45,1
1124,0,False,2022-06-25 19:28:14,2022-06-25 19:31:05,0:02:51,11
1125,0,False,2022-06-25 19:33:28,2022-06-25 19:38:47,0:05:19,9
1126,0,False,2022-06-25 19:40:06,2022-06-25 19:42:48,0:02:42,8
1127,0,False,2022-06-25 19:43:15,2022-06-25 19:44:14,0:00:59,8
1128,0,False,2022-06-25 19:44:42,2022-06-25 19:47:25,0:02:43,8
1129,0,False,2022-06-25 19:48:02,2022-06-25 19:49:12,0:01:10,9
1130,0,True,2022-06-25 19:49:38,2022-06-25 19:57:11,0:07:33,0
1131,0,False,2022-07-08 18:23:08,2022-07-08 18:26:56,0:03:48,8
1132,0,False,2022-07-08 18:29:24,2022-07-08 18:32:22,0:02:58,9
1133,0,True,2022-07-08 18:32:48,2022-07-08 18:40:23,0:07:35,0
1264,0,False,2022-08-18 18:39:28,2022-08-18 18:42:34,0:03:06,9
1265,0,False,2022-08-18 18:47:36,2022-08-18 18:50:13,0:02:37,9
1266,0,False,2022-08-18 18:50:46,2022-08-18 18:53:43,0:02:57,9
1267,0,False,2022-08-18 18:55:21,2022-08-18 19:00:40,0:05:19,9
1268,0,False,2022-08-18 19:03:57,2022-08-18 19:09:16,0:05:19,8
1269,0,False,2022-08-18 19:10:42,2022-08-18 19:16:00,0:05:18,8
1270,0,False,2022-08-18 19:20:47,2022-08-18 19:26:07,0:05:20,8
1271,0,False,2022-08-18 19:27:30,2022-08-18 19:28:47,0:01:17,8
1272,0,False,2022-08-18 19:34:09,2022-08-18 19:41:02,0:06:53,8
1273,0,False,2022-08-18 19:43:58,2022-08-18 19:49:17,0:05:19,8
52,1,False,2022-01-05 22:03:15,2022-01-05 22:05:04,0:01:49,10
53,1,False,2022-01-05 22:06:01,2022-01-05 22:07:37,0:01:36,9
54,1,False,2022-01-05 22:08:57,2022-01-05 22:11:32,0:02:35,8
55,1,False,2022-01-05 22:13:26,2022-01-05 22:14:22,0:00:56,8
56,1,False,2022-01-05 22:14:58,2022-01-05 22:17:54,0:02:56,9
57,1,False,2022-01-05 22:18:55,2022-01-05 22:21:50,0:02:55,9
58,1,False,2022-01-05 22:23:31,2022-01-05 22:27:01,0:03:30,10
