,Instance,Start Time,End Time,Duration,Deaths,Clear,Start Ifrit,Start Titan,Start Ultima
0,0,2024-01-19 19:46:27,2024-01-19 19:46:59,0:00:32,8,False,0:00:00,0:00:00,0:00:00
1,0,2024-01-19 19:47:21,2024-01-19 19:47:55,0:00:34,9,False,0:00:00,0:00:00,0:00:00
2,0,2024-01-19 19:49:48,2024-01-19 19:50:34,0:00:46,9,False,0:00:00,0:00:00,0:00:00
3,0,2024-01-19 19:50:53,2024-01-19 19:51:50,0:00:57,9,False,0:00:00,0:00:00,0:00:00
4,0,2024-01-19 19:53:29,2024-01-19 19:54:36,0:01:07,8,False,0:00:00,0:00:00,0:00:00
5,0,2024-01-19 19:54:51,2024-01-19 19:57:01,0:02:10,10,False,0:00:00,0:00:00,0:00:00
6,0,2024-01-19 20:10:39,2024-01-19 20:12:07,0:01:28,10,False,0:00:00,0:00:00,0:00:00
7,0,2024-01-19 20:12:28,2024-01-19 20:13:32,0:01:04,10,False,0:00:00,0:00:00,0:00:00
8,0,2024-01-19 20:13:52,2024-01-19 20:15:47,0:01:55,9,False,0:00:00,0:00:00,0:00:00
9,0,2024-01-19 20:16:02,2024-01-19 20:17:48,0:01:46,9,False,0:00:00,0:00:00,0:00:00
10,0,2024-01-19 20:18:03,2024-01-19 20:20:40,0:02:37,10,False,0:00:00,0:00:00,0:00:00
11,0,2024-01-19 20:26:39,2024-01-19 20:29:00,0:02:21,9,False,0:00:00,0:00:00,0:00:00
12,0,2024-01-19 20:30:23,2024-01-19 20:30:48,0:00:25,8,False,0:00:00,0:00:00,0:00:00
13,0,2024-01-19 20:31:39,2024-01-19 20:32:29,0:00:50,8,False,0:00:00,0:00:00,0:00:00
14,0,2024-01-19 20:32:48,2024-01-19 20:35:11,0:02:23,11,False,0:00:00,0:00:00,0:00:00
15,0,2024-01-19 20:36:55,2024-01-19 20:37:27,0:00:32,9,False,0:00:00,0:00:00,0:00:00
16,0,2024-01-19 20:38:13,2024-01-19 20:40:41,0:02:28,11,False,0:00:00,0:00:00,0:00:00
17,0,2024-01-19 20:42:17,2024-01-19 20:44:55,0:02:38,9,False,0:00:00,0:00:00,0:00:00
18,0,2024-01-19 20:45:14,2024-01-19 20:49:07,0:03:53,10,False,0:02:33,0:00:00,0:00:00
19,0,2024-01-19 20:51:59,2024-01-19 20:54:32,0:02:33,11,False,0:00:00,0:00:00,0:00:00
20,0,2024-01-19 20:58:19,2024-01-19 21:00:56,0:02:37,10,False,0:00:00,0:00:00,0:00:00
21,0,2024-01-19 21:01:19,2024-01-19 21:04:01,0:02:42,10,False,0:00:00,0:00:00,0:00:00
22,0,2024-01-19 21:04:18,2024-01-19 21:07:29,0:03:11,9,False,0:02:41,0:00:00,0:00:00
23,0,2024-02-02 18:50:08,2024-02-02 18:50:45,0:00:37,9,False,0:00:00,0:00:00,0:00:00
24,0,2024-02-02 18:51:02,2024-02-02 18:52:03,0:01:01,9,False,0:00:00,0:00:00,0:00:00
25,0,2024-02-02 18:52:22,2024-02-02 18:53:54,0:01:32,10,False,0:00:00,0:00:00,0:00:00
26,0,2024-02-02 18:57:12,2024-02-02 18:59:20,0:02:08,13,False,0:00:00,0:00:00,0:00:00
27,0,2024-02-02 19:00:59,2024-02-02 19:02:04,0:01:05,9,False,0:00:00,0:00:00,0:00:00
28,0,2024-02-02 19:03:15,2024-02-02 19:05:25,0:02:10,11,False,0:00:00,0:00:00,0:00:00
29,0,2024-02-02 19:08:25,2024-02-02 19:09:47,0:01:22,8,False,0:00:00,0:00:00,0:00:00
30,0,2024-02-02 19:10:11,2024-02-02 19:12:18,0:02:07,9,False,0:00:00,0:00:00,0:00:00
31,0,2024-02-02 19:15:01,2024-02-02 19:16:14,0:01:13,10,False,0:00:00,0:00:00,0:00:00
32,0,2024-02-02 19:16:53,2024-02-02 19:18:53,0:02:00,11,False,0:00:00,0:00:00,0:00:00
33,0,2024-02-02 19:20:59,2024-02-02 19:22:15,0:01:16,8,False,0:00:00,0:00:00,0:00:00
34,0,2024-02-02 19:23:08,2024-02-02 19:24:16,0:01:08,9,False,0:00:00,0:00:00,0:00:00
35,0,2024-02-02 19:24:31,2024-02-02 19:27:20,0:02:49,10,False,0:00:00,0:00:00,0:00:00
36,0,2024-02-02 19:28:29,2024-02-02 19:29:10,0:00:41,8,False,0:00:00,0:00:00,0:00:00
37,0,2024-02-02 19:29:31,2024-02-02 19:32:23,0:02:52,10,False,0:00:00,0:00:00,0:00:00
38,0,2024-02-02 19:32:42,2024-02-02 19:35:40,0:02:58,10,False,0:02:31,0:00:00,0:00:00
39,0,2024-02-02 19:38:14,2024-02-02 19:41:10,0:02:56,10,False,0:00:00,0:00:00,0:00:00
40,0,2024-02-02 19:41:25,2024-02-02 19:44:31,0:03:06,15,False,0:00:00,0:00:00,0:00:00
41,0,2024-02-02 19:45:45,2024-02-02 19:49:38,0:03:53,13,False,0:02:33,0:00:00,0:00:00
42,0,2024-02-02 19:49:56,2024-02-02 19:53:56,0:04:00,12,False,0:02:40,0:00:00,0:00:00
43,0,2024-02-02 20:01:42,2024-02-02 20:02:04,0:00:22,8,False,0:00:00,0:00:00,0:00:00
44,0,2024-02-02 20:02:20,2024-02-02 20:06:12,0:03:52,9,False,0:02:32,0:00:00,0:00:00
45,0,2024-02-03 17:33:30,2024-02-03 17:35:33,0:02:03,10,False,0:00:00,0:00:00,0:00:00
46,0,2024-02-03 17:35:50,2024-02-03 17:38:09,0:02:19,11,False,0:00:00,0:00:00,0:00:00
